Sanae_x,Dark athena 2nd,1,mwc,A,S,t,1:2.8,0,2,2,13-03-2016
A-agito,Full armor ciel,1,mwc,t,S,t,1:1.7,0,2,2,13-03-2016
Deluxe kung fu man,K' dempsey,1,mwc,t,S,t,1:2.9,0,2,2,13-03-2016
Tyrant J,Saku EX2,0,mwc,t,S,t,3:1,0,2,2,13-03-2016
Hayate EX,Dark athena 2nd,1,mwc,A,S,t,1:5.8,0,2,2,13-03-2016
Full armor ciel,K' dempsey,0,mwc,f,S,t,8.1:1,0,2,2,13-03-2016
Tyrant J,Dark athena 2nd,1,mwc,f,S,t,1:3.3,0,2,2,13-03-2016
Full armor ciel,Dark athena 2nd,1,mwc,f,S,t,1:1.9,0,2,2,13-03-2016
Asagi kun,Nitori(emanon),1,mwc,A,B,m,1:1.3,0,2,2,13-03-2016
Armgon,Soujiro EX3,0,mwc,f,S,m,1.6:1,0,2,2,13-03-2016
Dark champion,Gameboy,1,mwc,A,S,m,1.6:1,0,2,2,13-03-2016
Todo EX,Jyubei yagyu EX3,1,mwc,A,A,m,1:1.1,0,2,2,13-03-2016
Masked rider hibiki(emanon),Ff mai shiranui,1,mwc,A,B,m,1:5.6,0,2,2,13-03-2016
Margaretha_solin,Remy,0,mwc,A,A,m,2.2:1,0,2,2,13-03-2016
Perfect storm x,Armgon,0,mwc,A,S,m,1:1.9,0,2,2,13-03-2016
Kintaro,Goku z2,1,mwc,A,B,m,1.6:1,0,2,2,13-03-2016
Kotoe,Crocodile,1,mwc,f,A,m,1.7:1,0,2,2,13-03-2016
Skullman,Goodman,1,mwc,t,S,m,1:1.6,0,2,2,13-03-2016
Uppercut,Abyss form 1,1,mwc,A,A,m,1:3.3,0,2,2,13-03-2016
Pulse-k,Shaky jake,1,mwc,t,B,m,1.7:1,0,2,2,13-03-2016
Aura 2nd revival,Vanilla h,1,mwc,t,S,m,3.2:1,0,2,2,13-03-2016
Flonne,Anji,0,mwc,A,S,m,16.3:1,0,2,2,13-03-2016
Voltorb,Fubuki,0,mwc,A,A,m,1:1.6,0,2,2,13-03-2016
Alt eisen,Ex snow,1,mwc,A,B,m,1:8.6,0,2,2,13-03-2016
Sanosuke,Sailor jupiter EX,1,mwc,A,B,m,1:2.7,0,2,2,13-03-2016
Arrange_ayu,Bloodbane,1,mwc,f,S,m,1:4.3,0,2,2,13-03-2016
Giratina,Sue sakamoto,1,mwc,A,S,m,1:19.8,0,2,2,13-03-2016
Zero hotaru EX3,Satan(zayin),0,mwc,A,S,m,53.4:1,0,2,2,13-03-2016
Daimon 71113,Master barnes,0,mwc,A,S,m,6.4:1,0,2,2,13-03-2016
Hyper kagami,Pisaci,1,mwc,A,B,m,1:18,0,2,2,13-03-2016
Fat_tony,Zelda,1,mwc,A,B,m,13.3:1,0,2,2,13-03-2016
Amingo MVC2,9,1,mwc,A,S,m,1:1.2,0,2,2,13-03-2016
Mahvel ken,Nick commando EX FF,0,mwc,A,S,m,4.9:1,0,2,2,13-03-2016
Khan ex,Eddie mvc,1,mwc,A,A,m,1.4:1,0,2,2,13-03-2016
Hotaru futaba,Urban champion,0,mwc,A,B,m,8.6:1,0,2,2,13-03-2016
Momo-kirby,Mysty_monkstyle,0,mwc,f,A,m,1.7:1,0,2,2,13-03-2016
Diba,Kung fu master,1,mwc,A,A,m,1.6:1,0,2,2,13-03-2016
Grimace,Ss6 aisya,0,mwc,t,A,m,1:1.7,0,2,2,13-03-2016
No-life-nanaya,Namazu,0,mwc,t,S,m,17:1,0,2,2,13-03-2016
(sman) EX3,Megaman fp,1,mwc,A,B,m,1:1.9,0,2,2,13-03-2016
Kasumi wpr,Bonus kun EX2,1,mwc,A,B,m,1:1.5,0,2,2,13-03-2016
Yuka EX3,Jake,1,mwc,t,B,m,1:4.6,0,2,2,13-03-2016
Wally West,K9999,1,mwc,A,B,m,1:7.4,0,2,2,13-03-2016
Salty goku,Gaia EX3,1,mwc,A,B,m,2.3:1,0,2,2,13-03-2016
Taideo EX,Yuna,1,mwc,A,S,m,1:41.2,0,2,2,13-03-2016
Death13 EX3,Necoarc_abyss,1,mwc,A,S,m,1:2.8,0,2,2,13-03-2016
